!exclamation-point ɛkskləmeɪʃənpɔɪnt
"close-quote kloʊzkwoʊt
"double-quote dəbəlkwoʊt
"end-of-quote ɛndəvkwoʊt
"end-quote ɛndkwoʊt
"in-quotes ɪnkwoʊts
"quote kwoʊt
"unquote ənkwoʊt
#hash-mark hæmɑrk
#pound-sign paʊndsaɪn
#sharp-sign ʃɑrpsaɪn
%percent pərsɛnt
&ampersand æmpərsænd
'allo ɑloʊ
'apostrophe əpɑstrəfi
'bout baʊt
'cause kəz
'course kɔrs
'cuse kjuz
'em əm
'end-inner-quote ɛndɪnərkwoʊt
'end-quote ɛndkwoʊt
'frisco frɪskoʊ
'gain ɡɛn
'inner-quote ɪnərkwoʊt
'kay keɪ
'm əm
'n ən
'quote kwoʊt
'round raʊnd
's ɛs
'single-quote sɪŋɡəlkwoʊt
'til tɪl
'tis tɪz
'twas twəz
(begin-parens bɪɡɪnpərɛnz
(in-parentheses ɪnpərɛnθəsiz
(left-paren lɛftpərɛn
(open-parentheses oʊpənpərɛnθəsiz
(paren pərɛn
(parens pərɛnz
(parentheses pərɛnθəsiz
)close-paren kloʊzpərɛn
)close-parentheses kloʊzpərɛnθəsiz
)end-paren ɛndpərɛn
)end-parens ɛndpərɛnz
)end-parentheses ɛndpərɛnθəsiz
)end-the-paren ɛndðəpərɛn
)paren pərɛn
)parens pərɛnz
)right-paren raɪtpɛrən
)un-parentheses ənpərɛnθəsiz
+plus plʊs
,comma kɑmə
--dash dæʃ
-dash dæʃ
-hyphen haɪfən
...ellipsis ɪlɪpsɪs
.decimal dɛsəməl
.dot dɑt
.full-stop fʊlstɑp
.period pɪriəd
.point pɔɪnt
/slash slæʃ
3-d θridi
3d θridi
:colon koʊlən
;semi-colon sɛmikoʊlən
;semi-colon sɛmɪkoʊlən
?question-mark kwɛstʃənmɑrk
a ə
a eɪ
a's eɪz
a. eɪ
a.'s eɪz
a.s eɪz
a42128 eɪfɔrtuwəntueɪt
aa eɪeɪ
aaa trɪpəleɪ
aaberg ɑbərɡ
aachen ɑkən
aachener ɑkənər
aah ɑ
aaker ɑkər
aaliyah ɑliɑ
aalseth ɑlsɛθ
aamodt ɑmət
aancor ɑnkɔr
aardema ɑrdɛmə
aardvark ɑrdvɑrk
aardvarks ɑrdvɑrks
aargh ɑrɡ
aaron ɛrən
aaron's ɛrənz
aarons ɛrənz
aaronson ɛrənsən
aaronson ɑrənsən
aaronson's ɛrənsənz
aaronson's ɑrənsənz
aarti ɑrti
aase ɑs
aasen ɑsən
ab æb
aba eɪbieɪ
ababa əbɑbə
ababa ɑbəbə
abacha æbəkə
aback əbæk
abaco æbəkoʊ
abacus æbəkəs
abad əbɑd
abadaka əbædəkə
abadi əbædi
abadie əbædi
abair əbɛr
abalkin əbɑlkɪn
abalone æbəloʊni
abalones æbəloʊniz
abalos ɑbɑloʊz
abandon əbændən
abandoned əbændənd
abandoning əbændənɪŋ
abandonment əbændənmənt
abandonments əbændənmənts
abandons əbændənz
abanto əbæntoʊ
abarca əbɑrkə
abare ɑbɑri
abascal æbəskəl
abash əbæʃ
abashed əbæʃt
abasia əbeɪʒjə
